runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.612378s : 	999979	6092	6637	1.08946	268435453	2.47248e-05
0.901967s : 	999164	9030	30007	3.32303	268435454	0.000111785
1.20707s : 	999094	6288	13946	2.21788	268435428	5.19529e-05
1.51198s : 	998666	4499	15798	3.51145	268435448	5.88521e-05
1.77931s : 	998655	5399	6317	1.17003	268435415	2.35327e-05
2.0674s : 	998355	4995	9566	1.91512	268435290	3.56361e-05
2.36611s : 	998083	4939	13774	2.78882	268435420	5.13122e-05
2.63404s : 	997929	4814	9266	1.9248	268435431	3.45185e-05
2.92747s : 	997843	4474	6229	1.39227	268435424	2.32048e-05
3.20643s : 	997756	4898	6479	1.32278	268435453	2.41362e-05
3.4951s : 	997687	4252	6199	1.4579	268435455	2.30931e-05
3.78861s : 	997521	3880	4904	1.26392	268435456	1.82688e-05
4.07086s : 	997388	5195	6631	1.27642	268435439	2.47024e-05
4.33346s : 	997293	4774	6884	1.44198	268435411	2.56449e-05
4.60377s : 	997134	5521	10876	1.96993	268435419	4.05163e-05
4.88901s : 	996888	6452	18607	2.88391	268435431	6.93165e-05
5.17115s : 	996499	5062	15278	3.01817	268434927	5.69151e-05
5.45182s : 	996326	4943	11393	2.30488	268435338	4.24423e-05
5.73914s : 	995931	4836	13538	2.79942	268435361	5.0433e-05
6.02513s : 	995565	4850	11943	2.46247	268435450	4.44911e-05
6.32845s : 	995457	3903	7313	1.87369	268435384	2.72431e-05
6.61219s : 	995306	4061	8217	2.02339	268435427	3.06107e-05
6.89237s : 	994815	5481	15274	2.78672	268434944	5.69002e-05
7.17369s : 	994611	5150	8372	1.62563	268435353	3.11881e-05
7.46318s : 	994066	4878	13442	2.75564	268435454	5.00754e-05
7.74431s : 	994005	5050	7258	1.43723	268435396	2.70382e-05
8.03889s : 	993638	4884	12758	2.6122	268435419	4.75273e-05
8.32411s : 	993056	5338	18501	3.4659	268435411	6.89216e-05
8.6097s : 	992593	4716	12526	2.65606	268435443	4.6663e-05
8.89765s : 	992049	4766	15751	3.30487	268435454	5.8677e-05
9.20766s : 	991681	4310	9199	2.13434	268435451	3.42689e-05
9.49147s : 	991003	4725	15073	3.19005	268435402	5.61513e-05
9.77595s : 	990750	4735	10056	2.12376	268435451	3.74615e-05
10.0619s : 	990193	4684	15332	3.27327	268435437	5.71162e-05
10.3432s : 	989994	4695	10707	2.28051	268435421	3.98867e-05
10.6522s : 	989615	5286	12118	2.29247	268435446	4.51431e-05
10.9584s : 	989382	4729	11386	2.4077	268435448	4.24162e-05
11.2346s : 	989245	3281	2717	0.828101	268435421	1.01216e-05
11.52s : 	988922	6453	16226	2.51449	268435387	6.04466e-05
11.8082s : 	988626	4757	10542	2.2161	268435443	3.9272e-05
12.0944s : 	988185	5549	13934	2.51108	268435214	5.19082e-05
12.3809s : 	987964	5577	9278	1.66362	268435167	3.45633e-05
12.6734s : 	987780	4960	11525	2.32359	268435437	4.2934e-05
12.9858s : 	987511	4612	10826	2.34735	268435456	4.033e-05
13.276s : 	986999	4758	13710	2.88146	268435104	5.10738e-05
13.5608s : 	986201	5055	19869	3.93056	268433399	7.40184e-05
13.8729s : 	985961	4581	9417	2.05566	268435452	3.50811e-05
14.1886s : 	985735	4838	8373	1.73067	268435454	3.11919e-05
14.4987s : 	985453	5764	11643	2.01995	268435447	4.33736e-05
14.8118s : 	985282	5479	9379	1.71181	268435442	3.49395e-05
15.1027s : 	985083	4884	7792	1.59541	268435448	2.90275e-05
15.3832s : 	984495	4826	13340	2.76419	268435443	4.96954e-05
15.692s : 	983678	4785	18213	3.80627	268435451	6.78487e-05
15.976s : 	983479	4785	9901	2.06917	268435454	3.68841e-05
16.2567s : 	983075	4776	10670	2.23409	268435424	3.97489e-05
16.5544s : 	982932	3732	4088	1.09539	268435385	1.5229e-05
16.8304s : 	982457	5458	11009	2.01704	268435420	4.10117e-05
17.0951s : 	981901	4779	13405	2.80498	268435428	4.99375e-05
17.3756s : 	981248	4910	13809	2.81242	268435450	5.14425e-05
17.6689s : 	980642	4793	12950	2.70186	268435442	4.82425e-05
17.9752s : 	980109	4874	11865	2.43435	268435395	4.42006e-05
18.286s : 	979688	4806	10549	2.19496	268435174	3.92981e-05
18.5943s : 	978904	4820	13953	2.89481	268435450	5.1979e-05
18.8887s : 	978486	4831	10412	2.15525	268435443	3.87877e-05
19.3824s : 	978005	4836	9992	2.06617	268435448	3.72231e-05
19.8577s : 	977429	5067	13497	2.66371	268435452	5.02802e-05
20.1366s : 	977015	4864	10480	2.15461	268434831	3.90411e-05
20.4354s : 	976734	3422	6128	1.79077	268435368	2.28286e-05
20.731s : 	976453	4124	8017	1.94399	268435435	2.98657e-05
21.0312s : 	975919	4926	10056	2.04141	268435449	3.74615e-05
21.3053s : 	975379	4909	11215	2.28458	268435400	4.17791e-05
21.6174s : 	974681	4915	11615	2.36317	268435401	4.32693e-05
21.9244s : 	974239	5006	9381	1.87395	268435449	3.49469e-05
22.2374s : 	973631	4989	11008	2.20645	268435235	4.1008e-05
22.5405s : 	972800	4917	13798	2.80618	268435447	5.14016e-05
22.8471s : 	972273	4908	10992	2.23961	268435421	4.09484e-05
23.3453s : 	971814	4907	9784	1.99389	268435428	3.64482e-05
23.815s : 	971231	5372	11406	2.12323	268434103	4.24909e-05
24.2824s : 	970779	4440	10114	2.27793	268434859	3.76777e-05
