runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.378877s : 	1000000	4337	6585	1.51833	134217399	4.90622e-05
0.602698s : 	999989	3053	3593	1.17688	134217475	2.677e-05
0.813048s : 	999870	3855	10348	2.68431	134212586	7.71016e-05
1.05914s : 	999715	3933	10287	2.61556	134215432	7.66454e-05
1.26715s : 	999654	3385	7357	2.17341	134214657	5.48152e-05
1.49032s : 	999492	3855	8440	2.18936	134217530	6.2883e-05
1.71037s : 	999355	3007	5352	1.77985	134217408	3.98756e-05
1.88122s : 	995111	4483	1145	0.255409	134217553	8.53093e-06
2.10812s : 	992560	2900	1500	0.517241	134217340	1.11759e-05
2.32546s : 	990213	2848	1361	0.477879	134217641	1.01402e-05
2.55396s : 	988106	2792	736	0.26361	134215695	5.48371e-06
2.75509s : 	986136	2610	1966	0.753257	134217409	1.46479e-05
2.96027s : 	984342	2460	2431	0.988211	134217302	1.81124e-05
3.15225s : 	982744	2459	1057	0.42985	134217577	7.87527e-06
3.35212s : 	981397	2493	3907	1.56719	134217575	2.91095e-05
3.68428s : 	980165	2465	4054	1.64462	134217099	3.02048e-05
3.9485s : 	979157	2452	2483	1.01264	134217486	1.84998e-05
4.19997s : 	978200	2439	3151	1.29192	134217527	2.34768e-05
4.42953s : 	977098	2431	6057	2.49157	134217560	4.51282e-05
4.65946s : 	976200	2431	3760	1.54669	134217318	2.80143e-05
4.88699s : 	975275	2430	4646	1.91193	134217469	3.46155e-05
5.12778s : 	974452	2432	3565	1.46587	134216932	2.65615e-05
5.36617s : 	973672	2424	5094	2.10149	134217029	3.79535e-05
5.60976s : 	972932	2411	5527	2.29241	134217647	4.11794e-05
5.87s : 	972241	2391	6813	2.84944	134216529	5.07613e-05
6.10786s : 	971516	2387	6550	2.74403	134217493	4.88014e-05
6.31916s : 	970943	2385	5206	2.18281	134217247	3.87879e-05
6.57493s : 	970266	2390	7661	3.20544	134216888	5.70793e-05
6.82573s : 	969769	2356	5717	2.42657	134217316	4.25951e-05
7.02816s : 	969237	2357	6704	2.84429	134217542	4.99488e-05
7.27654s : 	968728	2352	6726	2.85969	134217528	5.01127e-05
7.51085s : 	968287	2358	5391	2.28626	134217524	4.01661e-05
7.74187s : 	967759	2358	6919	2.93427	134216423	5.15511e-05
7.97655s : 	967246	2332	7618	3.26672	134216734	5.67589e-05
8.21329s : 	966686	2318	8832	3.81018	134217093	6.58038e-05
8.44529s : 	966320	2306	5976	2.5915	134217290	4.45248e-05
8.66742s : 	965897	2305	7119	3.0885	134217496	5.30408e-05
8.93817s : 	965556	2321	5964	2.56958	134217535	4.44353e-05
9.16665s : 	965138	2310	7446	3.22338	134217374	5.54772e-05
9.41397s : 	964797	2309	6711	2.90645	134217594	5.00009e-05
9.67644s : 	964452	2310	7668	3.31948	134217490	5.71312e-05
9.94638s : 	964182	2311	5230	2.26309	134217363	3.89666e-05
10.1382s : 	964010	2312	3831	1.65701	134217017	2.85433e-05
10.3573s : 	963454	2445	8082	3.30552	134217446	6.02157e-05
10.5493s : 	963210	2382	4896	2.05542	134217595	3.64781e-05
10.8134s : 	962841	2327	5757	2.474	134217296	4.28931e-05
11.0617s : 	962469	2296	6482	2.82317	134217450	4.82948e-05
11.331s : 	962127	2306	6586	2.85603	134216820	4.90699e-05
11.5874s : 	961917	2300	4762	2.07043	134217588	3.54797e-05
11.8359s : 	961589	2291	7171	3.13007	134217474	5.34282e-05
12.0913s : 	961304	2293	6034	2.63149	134217357	4.49569e-05
12.3386s : 	961033	2279	6226	2.7319	134217445	4.63874e-05
12.6141s : 	960720	2347	5827	2.48274	134214996	4.34154e-05
12.8666s : 	960330	2281	7552	3.31083	134216860	5.62671e-05
13.105s : 	959940	2285	7344	3.214	134216724	5.47175e-05
13.3654s : 	959569	2364	5865	2.48096	134217405	4.36978e-05
13.6174s : 	959366	2315	4207	1.81728	134217408	3.13447e-05
13.827s : 	958869	2432	6673	2.74383	134216496	4.97182e-05
14.0605s : 	958366	2373	7855	3.31016	134217343	5.85245e-05
14.2931s : 	958000	2303	7258	3.15154	134217465	5.40764e-05
14.5437s : 	957723	2305	6066	2.63167	134217113	4.51954e-05
14.8276s : 	957350	2303	7516	3.26357	134217297	5.59987e-05
15.0669s : 	957043	2305	6846	2.97007	134217542	5.10067e-05
15.282s : 	956807	2305	5307	2.30239	134216821	3.95405e-05
15.5066s : 	956506	2494	4274	1.71371	134217423	3.18439e-05
15.7461s : 	955971	2509	6955	2.77202	134217444	5.18189e-05
15.9515s : 	955750	2312	4847	2.09645	134216301	3.61133e-05
16.1787s : 	955419	2313	6055	2.61781	134217145	4.51135e-05
16.3712s : 	955137	2314	5326	2.30164	134217392	3.96819e-05
16.6167s : 	954558	2315	8136	3.51447	134217418	6.06181e-05
16.8476s : 	954038	2312	7886	3.4109	134216887	5.87556e-05
17.1201s : 	953668	2316	6801	2.93653	134216608	5.06718e-05
17.3394s : 	953297	2315	6604	2.8527	134215681	4.92044e-05
17.5905s : 	952962	2309	6250	2.7068	134217161	4.65663e-05
17.7795s : 	952547	2311	7037	3.045	134217631	5.24298e-05
17.9935s : 	952235	2305	6167	2.67549	134217446	4.59478e-05
18.2483s : 	951866	2302	6846	2.97394	134216664	5.10071e-05
18.4701s : 	951452	2315	6631	2.86436	134216394	4.94053e-05
18.7027s : 	950984	2308	7392	3.20277	134217416	5.50748e-05
18.9512s : 	950543	2306	6992	3.03209	134217451	5.20946e-05
19.2251s : 	950232	2307	5610	2.43173	134216863	4.1798e-05
19.4752s : 	949813	2301	6618	2.87614	134217517	4.9308e-05
19.6982s : 	949489	2304	5772	2.50521	134217516	4.30048e-05
19.927s : 	949191	2309	5560	2.40797	134217370	4.14253e-05
20.1604s : 	948817	2307	6301	2.73125	134216913	4.69464e-05
20.405s : 	948432	2304	6309	2.73828	134217262	4.70059e-05
20.6651s : 	947948	2306	7255	3.14614	134216290	5.40545e-05
20.9127s : 	947657	2302	5435	2.36099	134217264	4.0494e-05
21.1579s : 	947324	2302	5820	2.52824	134217532	4.33624e-05
21.3836s : 	947028	2304	5231	2.2704	134217367	3.89741e-05
21.5941s : 	946681	2311	6005	2.59844	134217306	4.47409e-05
21.8598s : 	946443	2303	4741	2.05862	134217449	3.53233e-05
22.1301s : 	945962	2303	7304	3.17152	134217530	5.44191e-05
