runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.327515s : 	1000000	4233	6443	1.52209	134217399	4.80042e-05
0.50527s : 	999970	2984	3704	1.24129	134217408	2.7597e-05
0.672663s : 	999923	5137	6062	1.18007	134217553	4.51655e-05
0.84039s : 	999868	6092	14577	2.39281	134217575	0.000108607
1.0064s : 	999742	4861	10982	2.25921	134217418	8.18225e-05
1.17854s : 	999655	4257	10093	2.37092	134217339	7.51989e-05
1.35682s : 	999629	3047	3897	1.27896	134217475	2.9035e-05
1.53892s : 	999578	3540	8320	2.35028	134212586	6.19912e-05
1.78649s : 	999354	2991	8792	2.93949	134217368	6.55057e-05
2.03116s : 	999337	2906	3812	1.31177	134215695	2.8402e-05
2.26993s : 	999160	2906	6091	2.09601	134217532	4.53816e-05
2.52643s : 	999042	2899	5604	1.93308	134217641	4.17531e-05
2.75942s : 	998860	2672	6093	2.28031	134217409	4.53965e-05
3.00484s : 	998655	2585	6592	2.5501	134217302	4.91144e-05
3.24459s : 	998110	2510	9554	3.80637	134217528	7.1183e-05
3.4857s : 	997938	2484	5793	2.33213	134215432	4.3162e-05
3.71282s : 	997619	2478	6833	2.75747	134217279	5.091e-05
3.93932s : 	997441	2501	6041	2.41543	134217290	4.50091e-05
4.12993s : 	997435	2465	3048	1.23651	134217577	2.27094e-05
4.32338s : 	997406	2456	3818	1.55456	134217486	2.84464e-05
4.57741s : 	997079	2446	8293	3.39043	134217560	6.17877e-05
4.81947s : 	996729	2439	8109	3.32472	134217099	6.0417e-05
5.06227s : 	996524	2442	6646	2.72154	134217469	4.95167e-05
5.29396s : 	996097	2431	9053	3.72398	134216888	6.74505e-05
5.54333s : 	995888	2432	6390	2.62747	134217247	4.76094e-05
5.79817s : 	995732	2429	5866	2.41499	134216932	4.37054e-05
6.06143s : 	995581	2427	5712	2.35352	134217527	4.25578e-05
6.28896s : 	995359	2408	6567	2.72716	134217524	4.8928e-05
6.51755s : 	995132	2375	6774	2.85221	134217493	5.04703e-05
6.74883s : 	992919	2366	671	0.283601	134216529	4.99938e-06
6.96601s : 	991444	2357	1615	0.685193	134214438	1.2033e-05
7.19295s : 	989945	2335	3497	1.49764	134217647	2.60547e-05
7.45549s : 	988510	2337	3562	1.52418	134217316	2.6539e-05
7.69869s : 	987183	2333	4176	1.78997	134217029	3.11138e-05
7.90587s : 	986151	2337	3063	1.31065	134217450	2.28212e-05
8.11926s : 	985326	2508	3828	1.52632	134217595	2.85209e-05
8.36273s : 	984508	2323	5444	2.34352	134216958	4.05612e-05
8.57563s : 	983929	2335	3150	1.34904	134217017	2.34695e-05
8.8067s : 	983333	2363	4587	1.94118	134216301	3.41762e-05
9.05054s : 	982736	2326	4894	2.10404	134216863	3.64634e-05
