time, %cpu, %memory, fd
2018-12-06 11:08:36 , 100.0,5.7 , 6
2018-12-06 11:08:41 , 100.0,5.7 , 6
2018-12-06 11:08:46 , 100.0,5.7 , 6
2018-12-06 11:08:51 , 93.8,5.7 , 6
2018-12-06 11:08:57 , 100.0,5.7 , 6
2018-12-06 11:09:02 , 93.3,5.8 , 6
2018-12-06 11:09:07 , 100.0,5.8 , 6
2018-12-06 11:09:12 , 0.0,5.8 , 6
2018-12-06 11:09:17 , 93.3,5.8 , 6
2018-12-06 11:09:22 , 100.0,5.8 , 6
2018-12-06 11:09:27 , 100.0,5.8 , 6
2018-12-06 11:09:33 , 93.3,5.8 , 6
2018-12-06 11:09:38 , 6.7,5.8 , 6
2018-12-06 11:09:43 , 100.0,5.8 , 6
2018-12-06 11:09:48 , 100.0,5.8 , 6
2018-12-06 11:09:53 , 100.0,5.8 , 6
2018-12-06 11:09:58 , 100.0,5.8 , 6
2018-12-06 11:10:04 , 43.8,5.8 , 6
2018-12-06 11:10:09 , 100.0,5.8 , 6
2018-12-06 11:10:14 , 100.0,5.8 , 6
2018-12-06 11:10:19 , 100.0,5.8 , 6
2018-12-06 11:10:24 , 100.0,5.8 , 6
2018-12-06 11:10:29 , 93.3,5.8 , 6
2018-12-06 11:10:34 , 100.0,5.8 , 6
2018-12-06 11:10:40 , 100.0,5.8 , 6
2018-12-06 11:10:45 , 33.3,5.8 , 7
2018-12-06 11:10:50 , 93.3,5.8 , 6
2018-12-06 11:10:55 , 100.0,5.8 , 6
2018-12-06 11:11:00 , 100.0,5.8 , 6
2018-12-06 11:11:05 , 100.0,5.8 , 6
2018-12-06 11:11:11 , 33.3,0.2 , 6
2018-12-06 11:11:16 , 13.3,9.3 , 6
2018-12-06 11:11:21 , 53.3,13.1 , 6
2018-12-06 11:11:26 , 100.0,15.0 , 6
2018-12-06 11:11:31 , 100.0,9.3 , 6
2018-12-06 11:11:36 , 100.0,11.3 , 6
2018-12-06 11:11:42 , 273.3,10.4 , 6
2018-12-06 11:11:47 , 380.0,14.6 , 5
2018-12-06 11:11:52 , 80.0,14.5 , 6
2018-12-06 11:11:57 , 26.7,9.3 , 6
2018-12-06 11:12:02 , 362.5,14.5 , 5
2018-12-06 11:12:07 , 100.0,9.3 , 5
2018-12-06 11:12:13 , 6.7,9.3 , 6
2018-12-06 11:12:18 , 100.0,10.1 , 6
2018-12-06 11:12:23 , 66.7,9.4 , 6
2018-12-06 11:12:28 , 73.3,14.5 , 6
2018-12-06 11:12:33 , 93.3,16.2 , 6
2018-12-06 11:12:38 , 53.3,13.8 , 6
2018-12-06 11:12:44 , 100.0,16.2 , 5
2018-12-06 11:12:49 , 46.7,13.0 , 6
2018-12-06 11:12:54 , 100.0,11.6 , 6
2018-12-06 11:12:59 , 26.7,9.3 , 6
2018-12-06 11:13:04 , 106.7,16.1 , 6
2018-12-06 11:13:09 , 26.7,9.3 , 6
2018-12-06 11:13:15 , 300.0,10.8 , 5
2018-12-06 11:13:20 , 26.7,9.3 , 6
2018-12-06 11:13:25 , 20.0,9.3 , 6
2018-12-06 11:13:30 , 47.1,13.3 , 6
2018-12-06 11:13:35 , 0.0,15.0 , 6
2018-12-06 11:13:40 , 86.7,9.3 , 6
2018-12-06 11:13:46 , 26.7,9.3 , 6
2018-12-06 11:13:51 , 46.7,12.9 , 6
2018-12-06 11:13:56 , 86.7,9.8 , 6
2018-12-06 11:14:01 , 46.7,11.3 , 5
2018-12-06 11:14:06 , 100.0,14.7 , 6
2018-12-06 11:14:11 , 86.7,13.8 , 6
2018-12-06 11:14:17 , 100.0,14.7 , 6
2018-12-06 11:14:22 , 31.2,9.3 , 6
2018-12-06 11:14:27 , 26.7,9.3 , 6
2018-12-06 11:14:32 , 46.7,12.1 , 6
2018-12-06 11:14:37 , 86.7,10.8 , 5
2018-12-06 11:14:42 , 33.3,9.3 , 6
2018-12-06 11:14:48 , 60.0,9.3 , 6
2018-12-06 11:14:53 , 26.7,9.3 , 6
2018-12-06 11:14:58 , 37.5,9.3 , 6
2018-12-06 11:15:03 , 100.0,12.1 , 6
2018-12-06 11:15:08 , 100.0,12.6 , 6
2018-12-06 11:15:14 , 46.7,9.3 , 6
2018-12-06 11:15:19 , 93.3,16.2 , 5
2018-12-06 11:15:24 , 29.4,9.3 , 6
2018-12-06 11:15:29 , 117.6,9.3 , 6
2018-12-06 11:15:34 , 113.3,11.5 , 5
2018-12-06 11:15:39 , 100.0,10.4 , 6
2018-12-06 11:15:45 , 20.0,9.3 , 6
2018-12-06 11:15:50 , 20.0,9.3 , 6
2018-12-06 11:15:55 , 100.0,12.8 , 6
2018-12-06 11:16:00 , 50.0,10.7 , 6
2018-12-06 11:16:05 , 46.7,15.5 , 6
2018-12-06 11:16:10 , 66.7,16.6 , 6
2018-12-06 11:16:16 , 53.3,14.6 , 6
2018-12-06 11:16:21 , 46.7,13.6 , 6
2018-12-06 11:16:26 , 112.5,14.0 , 5
2018-12-06 11:16:31 , 66.7,16.2 , 6
2018-12-06 11:16:36 , 40.0,15.5 , 6
2018-12-06 11:16:42 , 33.3,12.2 , 6
2018-12-06 11:16:47 , 100.0,11.1 , 5
2018-12-06 11:16:52 , , 0
2018-12-06 11:16:57 , , 0
2018-12-06 11:17:02 , , 0
2018-12-06 11:17:07 , , 0
2018-12-06 11:17:13 , , 0
2018-12-06 11:17:18 , , 0
2018-12-06 11:17:23 , , 0
2018-12-06 11:17:28 , , 0
