runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.390389s : 	999999	4309	6332	1.46948	134217701	4.71771e-05
0.621668s : 	999991	3004	3268	1.08788	134217548	2.43485e-05
0.867896s : 	999972	3150	4962	1.57524	134217676	3.69698e-05
1.11356s : 	999949	3485	6162	1.76815	134217677	4.59105e-05
1.31905s : 	999226	4045	19227	4.75328	134217720	0.000143252
1.55165s : 	999204	3115	3471	1.11429	134217709	2.5861e-05
1.75974s : 	994067	5378	1050	0.19524	134217699	7.82311e-06
1.99008s : 	991491	2852	340	0.119215	134217718	2.5332e-06
2.25934s : 	988935	2824	394	0.139518	134217728	2.93553e-06
2.4784s : 	986559	2642	422	0.159727	134217700	3.14415e-06
2.70443s : 	984250	2579	456	0.176813	134217722	3.39746e-06
2.917s : 	982098	2427	408	0.168109	134217664	3.03984e-06
3.14608s : 	979942	2427	432	0.177998	134217723	3.21865e-06
3.41036s : 	977790	2415	590	0.244306	134217720	4.39584e-06
3.66477s : 	975645	2414	464	0.192212	134217718	3.45707e-06
3.87902s : 	973512	2404	352	0.146423	134217635	2.62261e-06
4.10873s : 	971378	2404	437	0.18178	134215239	3.25596e-06
4.34955s : 	969279	2376	380	0.159933	134217725	2.83122e-06
4.57445s : 	967117	2434	501	0.205834	134217609	3.73274e-06
4.81757s : 	965002	2374	645	0.271693	134217631	4.80563e-06
5.04321s : 	962928	2349	405	0.172414	134217564	3.01749e-06
5.27915s : 	960866	2336	540	0.231164	134217681	4.02331e-06
5.54173s : 	958803	2327	732	0.314568	134217698	5.45383e-06
5.77971s : 	956746	2313	670	0.289667	134217670	4.99189e-06
6.04854s : 	954706	2302	671	0.291486	134216681	4.99938e-06
6.2724s : 	952705	2282	235	0.10298	134217722	1.75089e-06
6.52156s : 	950701	2268	653	0.287919	134217682	4.86523e-06
6.75808s : 	948697	2264	651	0.287544	134217713	4.85033e-06
7.01131s : 	946696	2264	672	0.29682	134217655	5.00679e-06
7.26167s : 	944701	2260	576	0.254867	134217728	4.29153e-06
7.49985s : 	942711	2258	662	0.29318	134217681	4.93229e-06
7.70754s : 	940731	2249	571	0.253891	134217570	4.25429e-06
7.9306s : 	938748	2247	727	0.323543	134217705	5.41657e-06
8.13434s : 	936773	2242	540	0.240856	134217708	4.02331e-06
8.36644s : 	934768	2282	418	0.183173	134217565	3.11435e-06
8.60551s : 	932804	2229	662	0.296994	134217695	4.93229e-06
8.84897s : 	930837	2232	604	0.270609	134217727	4.50015e-06
9.09653s : 	928887	2220	505	0.227477	134217708	3.76254e-06
