runtime 	  walksum  	 nwalks  	  used_edges[0] 	 steps_per_walk  	  total_edges  	  utilization  
0.722605s : 	999973	3670	5769	1.57193	268432989	2.14914e-05
0.983093s : 	999962	524	724	1.38168	268354019	2.69793e-06
1.43581s : 	999863	3100	8957	2.88935	268395381	3.33724e-05
1.72009s : 	999834	2459	3583	1.4571	268422540	1.33484e-05
2.00888s : 	999827	3421	3563	1.04151	268432965	1.32733e-05
2.31426s : 	999794	3778	6915	1.83033	268422025	2.57617e-05
2.64485s : 	999760	6368	7081	1.11197	268433365	2.6379e-05
2.96045s : 	999735	4244	8987	2.11758	268421414	3.34809e-05
3.334s : 	999654	3143	4744	1.50939	268429568	1.76732e-05
3.63489s : 	999623	4029	5314	1.31894	268428894	1.97967e-05
4.04674s : 	999545	3935	11812	3.00178	268433110	4.40035e-05
4.56918s : 	999370	3559	7261	2.04018	268430016	2.70499e-05
4.89369s : 	999310	4004	6788	1.6953	268430470	2.52877e-05
5.40853s : 	999256	4024	8327	2.06933	268431031	3.1021e-05
5.95989s : 	999123	4000	9655	2.41375	268431737	3.59682e-05
6.26562s : 	998850	3233	11458	3.54408	268430613	4.26851e-05
6.72855s : 	998711	2932	6708	2.28786	268426050	2.49901e-05
7.1779s : 	998587	3307	7338	2.21893	268427653	2.7337e-05
7.5004s : 	998351	3210	9116	2.83988	268423972	3.39612e-05
8.02113s : 	998345	5323	9893	1.85854	268425642	3.68556e-05
8.46174s : 	998176	3937	9130	2.31902	268428778	3.40127e-05
8.94608s : 	997956	3544	9853	2.78019	268430410	3.6706e-05
9.40437s : 	997909	4119	5223	1.26803	268429543	1.94576e-05
9.7546s : 	997898	5102	6695	1.31223	268429621	2.49414e-05
10.1905s : 	997739	3796	8969	2.36275	268432471	3.34125e-05
10.4986s : 	997468	3144	10479	3.33302	268422269	3.90392e-05
10.828s : 	997445	4234	7629	1.80184	268430235	2.84208e-05
11.3508s : 	997365	4629	5750	1.24217	268431388	2.14207e-05
11.8232s : 	997319	4146	9861	2.37844	268432230	3.67355e-05
12.3202s : 	996999	3576	12332	3.44855	268404443	4.59456e-05
12.7768s : 	996979	2043	3912	1.91483	268337934	1.45786e-05
13.2895s : 	996929	4108	10735	2.61319	268431101	3.99916e-05
