runtime 	  walksum  	 nwalks  	  total_edges  
3.10146s : 	1073741821	34749129	0
7.0054s : 	1073741810	35830269	0
12.3913s : 	1073741789	36795885	0
17.8427s : 	1073741722	37888031	0
21.6404s : 	1073741590	39067411	0
25.7045s : 	1073741304	40328523	0
29.8345s : 	1073740798	41579863	0
34.0409s : 	1073739891	42923196	0
38.3891s : 	1073738461	44219797	0
42.6158s : 	1073736260	45657293	0
47.1122s : 	1073732968	47082250	0
50.3522s : 	1073728131	48547666	0
54.4767s : 	1073721288	50045428	0
57.8289s : 	1073711918	51644833	0
62.3493s : 	1073699386	53199596	0
65.7086s : 	1073682864	54586981	0
69.1107s : 	1073661488	56142600	0
73.9491s : 	1073634009	57927137	0
77.5445s : 	1073598792	59769488	0
81.2255s : 	1073554638	61633875	0
84.9309s : 	1073499518	63575146	0
90.5706s : 	1073432345	65429744	0
94.3794s : 	1073350271	67379500	0
99.8893s : 	1073250588	69147689	0
104.266s : 	1073130714	71161780	0
108.651s : 	1072987946	73133433	0
112.654s : 	1072819926	75065477	0
116.892s : 	1072623573	77286018	0
121.009s : 	1072392955	79523173	0
126.864s : 	1072125070	81838746	0
131.608s : 	1071817580	83477263	0
135.993s : 	1071463240	85863093	0
137.853s : 	1071014712	60182305	0
139.617s : 	1070498235	60632359	0
141.401s : 	1069907556	61148773	0
143.293s : 	1069234013	61583749	0
145.157s : 	1068463079	62210389	0
147.065s : 	1067587946	62746178	0
149.094s : 	1066599593	63516177	0
150.963s : 	1065482323	64030649	0
152.809s : 	1064234322	64250755	0
154.765s : 	1062831344	65003179	0
158.518s : 	1061272358	65281745	0
162.715s : 	1059528733	65895361	0
166.628s : 	1057606041	66207177	0
170.395s : 	1055475095	66782462	0
174.188s : 	1053135693	66689044	0
179.942s : 	1050570047	66635209	0
183.718s : 	1047772401	66709109	0
187.414s : 	1044732395	66726270	0
191.071s : 	1041400114	67076152	0
195.378s : 	1037785902	67101716	0
201.394s : 	1033888625	66807478	0
205.167s : 	1029675800	66597038	0
209.06s : 	1025157633	66240582	0
213.191s : 	1020303573	65751943	0
216.911s : 	1015113259	65308981	0
220.597s : 	1009596510	64458668	0
224.472s : 	1003726035	63784399	0
229.494s : 	997477539	63069506	0
233.42s : 	990856050	62153812	0
236.92s : 	983861777	61117690	0
238.576s : 	975963319	59997819	0
244.093s : 	968096517	61442526	0
245.825s : 	959273886	61122315	0
247.499s : 	950501425	61763814	0
249.185s : 	940666254	62345935	0
250.885s : 	930397289	61736791	0
252.543s : 	919630584	61348047	0
254.187s : 	908350926	60909265	0
255.808s : 	896608939	60425582	0
257.412s : 	884346268	59974198	0
258.961s : 	871708713	58996642	0
264.569s : 	858556573	58606081	0
267.987s : 	844964679	57814894	0
271.41s : 	830874435	57338361	0
275.427s : 	816403052	56416048	0
279.382s : 	801472514	55810053	0
282.628s : 	786224811	54640992	0
285.885s : 	770614957	53638383	0
290.454s : 	754699727	52636868	0
294.184s : 	738512376	51559909	0
297.816s : 	721893417	50917064	0
301.204s : 	705016408	49887785	0
