runtime 	  walksum  	 nwalks  	  total_edges  
3.03069s : 	1073741820	34749129	0
6.42111s : 	1073741813	35829913	0
9.69713s : 	1073741780	36795609	0
14.5781s : 	1073741718	37887083	0
17.6642s : 	1073741584	39061924	0
22.1793s : 	1073741336	38296051	0
26.3498s : 	1073740834	41585966	0
29.7391s : 	1073739984	42882923	0
33.1849s : 	1073738580	44262890	0
36.5035s : 	1073736472	45591203	0
42.1583s : 	1073733295	47082503	0
46.0643s : 	1073728674	48549373	0
49.4141s : 	1073721912	50061807	0
53.5042s : 	1073712812	51607672	0
57.2891s : 	1073700461	53260988	0
60.7276s : 	1073683984	54872354	0
64.2406s : 	1073662562	56293439	0
67.7463s : 	1073635102	57892514	0
70.7333s : 	1073601825	57298674	0
76.1053s : 	1073558089	61570655	0
79.7981s : 	1073505284	62075012	0
83.5152s : 	1073437580	65520084	0
88.4717s : 	1073359364	64971469	0
92.9368s : 	1073260031	69668439	0
96.8677s : 	1073142423	71088790	0
102.467s : 	1073000205	74103418	0
107.687s : 	1072835020	74560328	0
111.779s : 	1072640060	77566357	0
117.084s : 	1072406621	81126514	0
121.331s : 	1072134952	83545937	0
125.611s : 	1071819576	85530044	0
130.108s : 	1071460178	87309879	0
132.033s : 	1071011147	60191724	0
133.817s : 	1070495164	60650238	0
135.489s : 	1069902340	61147531	0
137.26s : 	1069227743	61594379	0
138.973s : 	1068458245	62205382	0
140.714s : 	1067582953	61452420	0
142.424s : 	1066592299	62140562	0
144.398s : 	1065540632	63376183	0
146.49s : 	1064291638	64603499	0
148.648s : 	1062902367	64806893	0
151.52s : 	1061344637	65516110	0
154.658s : 	1059617034	65755908	0
158.407s : 	1057692293	66324150	0
162.296s : 	1055576827	66604541	0
168.788s : 	1053233714	67133512	0
174.041s : 	1050673752	66969117	0
174.063s : 	1050673651	39097	0
177.754s : 	1047876675	66875028	0
182.175s : 	1044830147	66881320	0
182.706s : 	1042774646	19958654	0
184.045s : 	1042075419	4727723	0
187.605s : 	1038585839	65660953	0
191.12s : 	1034938637	66782160	0
194.316s : 	1030934839	66215514	0
198.752s : 	1029977851	5963314	0
