runtime 	  walksum  	 nwalks  	  total_edges  
1.15649s : 	61536524	15201695	0
2.14949s : 	59203324	18175891	0
3.54654s : 	57759202	23727753	0
4.77342s : 	56954880	20183261	0
5.53034s : 	52687840	22603499	0
6.40367s : 	51778612	10739413	0
6.90383s : 	48525194	15824370	0
7.9717s : 	46928438	16593272	0
8.42919s : 	44443147	15576346	0
8.93059s : 	38299219	15993351	0
9.42843s : 	34611267	16858769	0
9.88178s : 	29226640	14600108	0
10.1547s : 	24293100	9720517	0
10.3822s : 	21520621	8412331	0
10.5712s : 	18891932	7101658	0
10.752s : 	15935137	6426775	0
10.8988s : 	12929216	5939814	0
11.0478s : 	9191715	6089945	0
11.0624s : 	8775804	622112	0
11.1936s : 	5144767	5211128	0
11.2004s : 	5015800	231679	0
11.2472s : 	3750547	2032047	0
11.2514s : 	3631393	167833	0
11.2854s : 	2630930	1557142	0
11.2881s : 	2571847	87514	0
11.3109s : 	1761864	1161082	0
11.3142s : 	1678819	133288	0
11.3389s : 	891034	1099845	0
11.3604s : 	445907	614553	0
11.3671s : 	384245	120279	0
11.375s : 	310371	135998	0
11.3821s : 	235911	117901	0
11.3892s : 	175915	110056	0
11.3958s : 	119891	76036	0
11.4037s : 	109539	67105	0
11.4058s : 	92865	48825	0
11.4073s : 	85010	39597	0
11.4088s : 	69227	29418	0
11.4099s : 	60210	27052	0
11.4112s : 	40749	27828	0
11.4122s : 	31123	18626	0
11.4131s : 	22611	15541	0
11.4137s : 	17674	6722	0
11.4143s : 	15932	5751	0
11.4148s : 	13024	6784	0
11.4154s : 	10879	6710	0
11.4158s : 	9098	3226	0
11.4163s : 	7601	3321	0
11.4167s : 	6336	2290	0
11.4173s : 	3204	4266	0
11.4176s : 	2383	1373	0
11.4216s : 	2213	232	0
11.4258s : 	2044	709	0
11.4265s : 	1685	800	0
11.4268s : 	1454	788	0
11.4273s : 	988	623	0
11.4276s : 	757	438	0
11.4279s : 	462	456	0
11.4283s : 	303	197	0
11.4285s : 	186	160	0
11.4287s : 	172	61	0
11.4288s : 	121	67	0
11.429s : 	96	61	0
11.4291s : 	61	50	0
11.4292s : 	36	28	0
11.4294s : 	25	21	0
11.4295s : 	18	9	0
11.4296s : 	13	6	0
11.4297s : 	11	6	0
11.4299s : 	7	5	0
11.43s : 	5	4	0
11.4301s : 	4	1	0
11.4302s : 	2	2	0
11.4303s : 	1	1	0
11.4305s : 	0	1	0
